"","Country","Year","Area","Metier","Gear","Vessel_length","kw_days","Days_at_sea","FU","lvl4"
"1","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","10<24",8541,39,"outFU","MIS_MIS"
"2","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",35748,54,"outFU","MIS_MIS"
"3","BEL",2009,"27.7","GNS_DEF_all_0_0_all","GNS","10<24",1350,3,"outFU","GNS_DEF"
"4","BEL",2009,"27.7","GNS_DEF_90-99_0_0_all","GNS","10<24",4950,11,"outFU","GNS_DEF"
"5","BEL",2009,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",2250,5,"outFU","GTR_DEF"
"6","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",5304,24,"outFU","OTB_CRU"
"7","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",3096,4,"outFU","OTB_CRU"
"8","BEL",2009,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",5510,10,"21","OTB_CRU"
"9","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",15428,28,"22","OTB_CRU"
"10","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",146363,663,"outFU","TBB_DEF"
"11","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",1466116,1416,"outFU","TBB_DEF"
"12","BEL",2009,"27.7.agj","TBB_DEF_70-99_0_0_all","TBB","24<40",4515,5,"19","TBB_DEF"
"13","BEL",2009,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",36468,32,"21","TBB_DEF"
"14","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",23106,21,"22","TBB_DEF"
"15","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",42368,64,"outFU","MIS_MIS"
"16","BEL",2009,"27.7","GNS_DEF_90-99_0_0_all","GNS","10<24",1350,3,"outFU","GNS_DEF"
"17","BEL",2009,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",3150,7,"outFU","GTR_DEF"
"18","BEL",2009,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",1350,3,"outFU","GTR_DEF"
"19","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",4420,20,"outFU","OTB_CRU"
"20","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",7735,35,"22","OTB_CRU"
"21","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",12581,16,"outFU","OTB_CRU"
"23","BEL",2009,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",551,1,"21","OTB_CRU"
"24","BEL",2009,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",143201,177,"22","OTB_CRU"
"25","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",69280,314,"outFU","TBB_DEF"
"26","BEL",2009,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",662485,646,"outFU","TBB_DEF"
"27","BEL",2009,"27.7.agj","TBB_DEF_70-99_0_0_all","TBB","24<40",10848,11,"19","TBB_DEF"
"28","BEL",2009,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",9885,9,"21","TBB_DEF"
"29","BEL",2009,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",241376,242,"22","TBB_DEF"
"30","BEL",2009,"27.7","MIS_MIS_0_0_0_HC","MIS","24<40",45016,68,"outFU","MIS_MIS"
"31","BEL",2009,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",884,4,"outFU","OTB_CRU"
