,fleet,max_effort,Unchock_Species,min_effort,Chock_Species,Country
1,BE_Beam_10<24m,302.1508687,SOL-7E,0,COD-CS,Beam_10<24m
2,BE_Beam_24<40m,13700.79617,SOL-7E,0,COD-CS,Beam_24<40m
3,BE_Otter_24<40m,851.5586846,SOL-7E,0,COD-CS,Otter_24<40m
4,EN_Beam_10<24m,1395.992567,SOL-7E,0,COD-CS,Beam_10<24m
5,EN_Beam_24<40m,4424.601265,SOL-7E,0,COD-CS,Beam_24<40m
6,EN_Other_all,4249.438758,SOL-7E,0,COD-CS,Other_all
7,EN_Otter_<10m,574.1653758,SOL-7E,0,COD-CS,Otter_<10m
8,EN_Otter_10<24m,3189.753465,SOL-7E,0,COD-CS,Otter_10<24m
9,EN_Otter_24<40m,2231.6248,SOL-7E,0,COD-CS,Otter_24<40m
10,EN_Static_all,3285.964835,SOL-7E,0,COD-CS,Static_all
11,FR_Other_all,15709.829,SOL-7E,5782.634729,HAD-CS,Other_all
12,FR_Otter_10<24m,18381.7429,SOL-7E,0,COD-CS,Otter_10<24m
13,FR_Otter_24<40m,20055.58934,SOL-7E,0,COD-CS,Otter_24<40m
14,FR_Otter_all,5824.167,SOL-7E,2877.330989,SOL-7FG,Otter_all
15,IE_Beam_10<24m,443.25824,WHG-CS,0,COD-CS,Beam_10<24m
16,IE_Beam_24<40m,2012.6888,WHG-CS,0,COD-CS,Beam_24<40m
17,IE_Otter_10<24m,16064.41357,SOL-7E,0,COD-CS,Otter_10<24m
18,IE_Otter_24<40m,12102.15038,SOL-7E,0,COD-CS,Otter_24<40m
19,SP_Static_24<40m,437.9378,N-HKE,376.2430916,MON-CS,Static_24<40m
20,SP_Static_all,3319.111,N-HKE,1189.142582,HAD-CS,Static_all
