X,year,scenario,fleet,metier,effshare,effort,efmet,gear,Country,Fleet
1,2017,baseline,BE_Beam_10<24m,OTH,1,224.5021716,224.5021716,OTH,BE,Beam_10<24m
2,2017,baseline,BE_Beam_24<40m,OTH,0.68118469,10179.87639,6934.375938,OTH,BE,Beam_24<40m
3,2017,baseline,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,10179.87639,3245.500447,TBB_DEF_27,BE,Beam_24<40m
4,2017,baseline,BE_Otter_24<40m,OTH,1,632.7195906,632.7195906,OTH,BE,Otter_24<40m
5,2017,baseline,EN_Beam_10<24m,OTH,1,1037.24131,1037.24131,OTH,EN,Beam_10<24m
6,2017,baseline,EN_Beam_24<40m,OTH,1,3287.53843,3287.53843,OTH,EN,Beam_24<40m
7,2017,baseline,EN_Other_all,OTH,1,3157.390324,3157.390324,OTH,EN,Other_all
8,2017,baseline,EN_Otter_<10m,OTH,1,426.61262,426.61262,OTH,EN,Otter_<10m
9,2017,baseline,EN_Otter_10<24m,OTH,1,2370.029856,2370.029856,OTH,EN,Otter_10<24m
10,2017,baseline,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,1658.127296,803.13882,OTB_DEF_27,EN,Otter_24<40m
11,2017,baseline,EN_Otter_24<40m,OTH,0.515635005,1658.127296,854.9884765,OTH,EN,Otter_24<40m
12,2017,baseline,EN_Static_all,OTH,1,2441.516202,2441.516202,OTH,EN,Static_all
13,2017,baseline,FR_Other_all,OTH,1,11672.615,11672.615,OTH,FR,Other_all
14,2017,baseline,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,14143.448,3384.764,OTB_DEF_27,FR,Otter_10<24m
15,2017,baseline,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,14143.448,1201.78,OTB_DEF_27,FR,Otter_10<24m
16,2017,baseline,FR_Otter_10<24m,OTH,0.675712457,14143.448,9556.904,OTH,FR,Otter_10<24m
17,2017,baseline,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,15417.12,2712.209,OTB_DEF_27,FR,Otter_24<40m
18,2017,baseline,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,15417.12,769.905,OTB_DEF_27,FR,Otter_24<40m
19,2017,baseline,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,15417.12,2726.676,OTB_DEF_27,FR,Otter_24<40m
20,2017,baseline,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,15417.12,3176.605,OTB_DEF_27,FR,Otter_24<40m
21,2017,baseline,FR_Otter_24<40m,OTH,0.391235523,15417.12,6031.725,OTH,FR,Otter_24<40m
22,2017,baseline,FR_Otter_all,OTH,0.85674909,4327.435,3707.526,OTH,FR,Otter_all
23,2017,baseline,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4327.435,619.909,OTT_DEF_27,FR,Otter_all
24,2017,baseline,IE_Beam_10<24m,OTH,1,377.072,377.072,OTH,IE,Beam_10<24m
