,year,stock,country,scenario,share
1,2017,COD-CS,BE,baseline,0.037838176
2,2017,COD-CS,EN,baseline,0.079189718
3,2017,COD-CS,OT,baseline,0.037583898
4,2017,COD-CS,FR,baseline,0.589639437
5,2017,COD-CS,IE,baseline,0.255748771
6,2017,HAD-CS,FR,baseline,0.589421895
7,2017,HAD-CS,IE,baseline,0.254968507
8,2017,HAD-CS,EN,baseline,0.081555564
9,2017,HAD-CS,BE,baseline,0.014354082
10,2017,HAD-CS,SP,baseline,1.90E-05
11,2017,HAD-CS,OT,baseline,0.059680934
12,2017,MON-CS,BE,baseline,0.080762001
13,2017,MON-CS,SP,baseline,0.00014706
14,2017,MON-CS,OT,baseline,0.032388731
15,2017,MON-CS,FR,baseline,0.510217991
16,2017,MON-CS,EN,baseline,0.198295873
17,2017,MON-CS,IE,baseline,0.178188343
18,2017,N-HKE,EN,baseline,0.021817415
19,2017,N-HKE,SP,baseline,0.132869318
20,2017,N-HKE,FR,baseline,0.061421679
21,2017,N-HKE,BE,baseline,0.000891303
22,2017,N-HKE,OT,baseline,0.739675743
23,2017,N-HKE,IE,baseline,0.043324542
24,2017,N-MEG,OT,baseline,0.081166917
25,2017,N-MEG,FR,baseline,0.260942097
26,2017,N-MEG,EN,baseline,0.170329579
27,2017,N-MEG,SP,baseline,6.74E-06
28,2017,N-MEG,IE,baseline,0.439210738
29,2017,N-MEG,BE,baseline,0.048343928
30,2017,SOL-7E,BE,baseline,0.110591265
31,2017,SOL-7E,IE,baseline,0.00026803
32,2017,SOL-7E,FR,baseline,0.14492173
33,2017,SOL-7E,EN,baseline,0.72706083
34,2017,SOL-7E,OT,baseline,0.017158145
35,2017,SOL-7FG,FR,baseline,0.063937113
36,2017,SOL-7FG,BE,baseline,0.707639175
37,2017,SOL-7FG,IE,baseline,0.036353093
38,2017,SOL-7FG,EN,baseline,0.19168299
39,2017,SOL-7FG,OT,baseline,0.000387629
40,2017,WHG-CS,BE,baseline,0.009605576
41,2017,WHG-CS,FR,baseline,0.436812798
42,2017,WHG-CS,OT,baseline,0
43,2017,WHG-CS,IE,baseline,0.504410332
44,2017,WHG-CS,EN,baseline,0.049171293
45,2019,COD-CS,BE,max,0.037165843
46,2019,COD-CS,EN,max,0.095395604
47,2019,COD-CS,FR,max,0.579162346
48,2019,COD-CS,IE,max,0.252492988
49,2019,COD-CS,OT,max,0.035783219
50,2019,COD-CS,SP,max,0
51,2019,HAD-CS,BE,max,0.018047834
52,2019,HAD-CS,EN,max,0.141310773
53,2019,HAD-CS,FR,max,0.542222527
54,2019,HAD-CS,IE,max,0.220197467
55,2019,HAD-CS,OT,max,0.078195254
56,2019,HAD-CS,SP,max,2.61E-05
57,2019,MON-CS,BE,max,0.074728544
58,2019,MON-CS,EN,max,0.218737113
59,2019,MON-CS,FR,max,0.475670154
60,2019,MON-CS,IE,max,0.167350497
61,2019,MON-CS,OT,max,0.063377619
62,2019,MON-CS,SP,max,0.000136074
63,2019,N-HKE,BE,max,0.005960162
64,2019,N-HKE,EN,max,0.029081919
65,2019,N-HKE,FR,max,0.062801264
66,2019,N-HKE,IE,max,0.055881818
67,2019,N-HKE,OT,max,0.723220214
68,2019,N-HKE,SP,max,0.123054624
69,2019,N-MEG,BE,max,0.043438314
70,2019,N-MEG,EN,max,0.149798997
71,2019,N-MEG,FR,max,0.26558945
72,2019,N-MEG,IE,max,0.476279493
73,2019,N-MEG,OT,max,0.064888187
74,2019,N-MEG,SP,max,5.56E-06
75,2019,SOL-7E,BE,max,0.108546437
76,2019,SOL-7E,EN,max,0.728566214
77,2019,SOL-7E,FR,max,0.146300189
78,2019,SOL-7E,IE,max,0.000263074
79,2019,SOL-7E,OT,max,0.016324086
80,2019,SOL-7E,SP,max,0
81,2019,SOL-7FG,BE,max,0.686514777
82,2019,SOL-7FG,EN,max,0.183929848
83,2019,SOL-7FG,FR,max,0.062012741
84,2019,SOL-7FG,IE,max,0.067178116
85,2019,SOL-7FG,OT,max,0.000364517
86,2019,SOL-7FG,SP,max,0
87,2019,WHG-CS,BE,max,0.011987701
88,2019,WHG-CS,EN,max,0.055448584
89,2019,WHG-CS,FR,max,0.476699075
90,2019,WHG-CS,IE,max,0.415167341
91,2019,WHG-CS,OT,max,0.040697299
92,2019,WHG-CS,SP,max,0
93,2019,COD-CS,BE,min,0
94,2019,COD-CS,EN,min,0
95,2019,COD-CS,FR,min,0
96,2019,COD-CS,IE,min,0
97,2019,COD-CS,OT,min,0
98,2019,COD-CS,SP,min,0
99,2019,HAD-CS,BE,min,0
100,2019,HAD-CS,EN,min,0
101,2019,HAD-CS,FR,min,0.390085352
102,2019,HAD-CS,IE,min,0
103,2019,HAD-CS,OT,min,0
104,2019,HAD-CS,SP,min,0.609914648
105,2019,MON-CS,BE,min,0
106,2019,MON-CS,EN,min,0
107,2019,MON-CS,FR,min,0.999368581
108,2019,MON-CS,IE,min,0
109,2019,MON-CS,OT,min,0
110,2019,MON-CS,SP,min,0.000631419
111,2019,N-HKE,BE,min,0
112,2019,N-HKE,EN,min,0
113,2019,N-HKE,FR,min,0.203792448
114,2019,N-HKE,IE,min,0
115,2019,N-HKE,OT,min,0
116,2019,N-HKE,SP,min,0.796207552
117,2019,N-MEG,BE,min,0
118,2019,N-MEG,EN,min,0
119,2019,N-MEG,FR,min,0.999931793
120,2019,N-MEG,IE,min,0
121,2019,N-MEG,OT,min,0
122,2019,N-MEG,SP,min,6.82E-05
123,2019,SOL-7E,BE,min,0
124,2019,SOL-7E,EN,min,0
125,2019,SOL-7E,FR,min,1
126,2019,SOL-7E,IE,min,0
127,2019,SOL-7E,OT,min,0
128,2019,SOL-7E,SP,min,0
