fleet,metier,year,stock,L,D,V,metier2,Country,CatchKG
BE_Beam_10<24m,TBB_DEF_27.7.e,2010,HAD,0.124,0,131.82,TBB_DEF,BE,124
BE_Beam_10<24m,TBB_DEF_27.7.e,2010,WHG,0.064,0,30.36,TBB_DEF,BE,64
BE_Beam_10<24m,TBB_DEF_27.7.e,2011,HAD,0.164,0,148.24,TBB_DEF,BE,164
BE_Beam_10<24m,TBB_DEF_27.7.e,2011,WHG,0.028,0,22.76,TBB_DEF,BE,28
BE_Beam_10<24m,TBB_DEF_27.7.e,2012,HAD,0.242,0,179.62,TBB_DEF,BE,242
BE_Beam_10<24m,TBB_DEF_27.7.e,2012,WHG,1.398,0,1465.12,TBB_DEF,BE,1398
BE_Beam_10<24m,TBB_DEF_27.7.e,2013,WHG,0.072,0,64.28,TBB_DEF,BE,72
BE_Beam_10<24m,TBB_DEF_27.7.e,2015,HAD,0.1,0,99.84,TBB_DEF,BE,100
BE_Beam_10<24m,TBB_DEF_27.7.e,2015,WHG,0.278,0.227338645,260.82,TBB_DEF,BE,505.338645
BE_Beam_10<24m,TBB_DEF_27.7.e,2017,HAD,0.006,0.008965696,4.16,TBB_DEF,BE,14.965696
BE_Beam_10<24m,TBB_DEF_27.7.e,2017,WHG,0.082,0.067056723,54.18,TBB_DEF,BE,149.056723
BE_Beam_10<24m,TBB_DEF_27.7.f,2009,COD,0.584,0,1584.82,TBB_DEF,BE,584
BE_Beam_10<24m,TBB_DEF_27.7.f,2009,HAD,0.341,0,254.36,TBB_DEF,BE,341
BE_Beam_10<24m,TBB_DEF_27.7.f,2009,WHG,1.053,0,613.15,TBB_DEF,BE,1053
BE_Beam_10<24m,TBB_DEF_27.7.f,2010,COD,0.26,0,541.26,TBB_DEF,BE,260
BE_Beam_10<24m,TBB_DEF_27.7.f,2010,HAD,0.162,0,111.59,TBB_DEF,BE,162
BE_Beam_10<24m,TBB_DEF_27.7.f,2010,WHG,1.161,0,624.51,TBB_DEF,BE,1161
BE_Beam_10<24m,TBB_DEF_27.7.f,2011,COD,1.1,0,2807.18,TBB_DEF,BE,1100
BE_Beam_10<24m,TBB_DEF_27.7.f,2011,HAD,0.844,0,708.89,TBB_DEF,BE,844
BE_Beam_10<24m,TBB_DEF_27.7.f,2011,WHG,1.723,0,1269.02,TBB_DEF,BE,1723
BE_Beam_10<24m,TBB_DEF_27.7.f,2012,COD,6.983,0,14740.86,TBB_DEF,BE,6983
BE_Beam_10<24m,TBB_DEF_27.7.f,2012,HAD,5.013,0,4203.6,TBB_DEF,BE,5013
BE_Beam_10<24m,TBB_DEF_27.7.f,2012,WHG,5.272,0,3807.53,TBB_DEF,BE,5272
BE_Beam_10<24m,TBB_DEF_27.7.f,2013,COD,0.932,0.013348104,1555.24,TBB_DEF,BE,945.348104
BE_Beam_10<24m,TBB_DEF_27.7.f,2013,HAD,0.907,0,830.54,TBB_DEF,BE,907
BE_Beam_10<24m,TBB_DEF_27.7.f,2013,WHG,6.748,0,3482.92,TBB_DEF,BE,6748
BE_Beam_10<24m,TBB_DEF_27.7.f,2014,COD,1.442,0.362139103,2477.61,TBB_DEF,BE,1804.139103
BE_Beam_10<24m,TBB_DEF_27.7.f,2014,HAD,2.206,0,2038.24,TBB_DEF,BE,2206
BE_Beam_10<24m,TBB_DEF_27.7.f,2014,WHG,7.124,2.055722076,3376.98,TBB_DEF,BE,9179.722076
BE_Beam_10<24m,TBB_DEF_27.7.f,2015,COD,1.872,0.046922107,3556.53,TBB_DEF,BE,1918.922107
BE_Beam_10<24m,TBB_DEF_27.7.f,2015,HAD,0.347,0,344.91,TBB_DEF,BE,347
BE_Beam_10<24m,TBB_DEF_27.7.f,2015,WHG,3.021,2.470467966,2589.58,TBB_DEF,BE,5491.467966
BE_Beam_10<24m,TBB_DEF_27.7.f,2016,COD,0.842,0.091396073,1937.33,TBB_DEF,BE,933.396073
BE_Beam_10<24m,TBB_DEF_27.7.f,2016,HAD,1.039,1.464332122,1186.99,TBB_DEF,BE,2503.332122
BE_Beam_10<24m,TBB_DEF_27.7.f,2016,WHG,3.711,11.64343554,2374.17,TBB_DEF,BE,15354.43554
BE_Beam_10<24m,TBB_DEF_27.7.f,2017,COD,0.177,0.019212714,430.16,TBB_DEF,BE,196.212714
BE_Beam_10<24m,TBB_DEF_27.7.f,2017,HAD,0.983,1.38540758,1323.97,TBB_DEF,BE,2368.40758
BE_Beam_10<24m,TBB_DEF_27.7.f,2017,WHG,1.825,2.360997025,1243.28,TBB_DEF,BE,4185.997025
BE_Beam_10<24m,TBB_DEF_27.7.g,2009,COD,0.014,0,31.38,TBB_DEF,BE,14
BE_Beam_10<24m,TBB_DEF_27.7.g,2009,WHG,0.04,0,35.14,TBB_DEF,BE,40
BE_Beam_10<24m,TBB_DEF_27.7.g,2010,HAD,0.05,0,50.86,TBB_DEF,BE,50
BE_Beam_10<24m,TBB_DEF_27.7.g,2010,WHG,0.018,0,7.87,TBB_DEF,BE,18
BE_Beam_10<24m,TBB_DEF_27.7.g,2012,COD,0.439,0,978.06,TBB_DEF,BE,439
BE_Beam_10<24m,TBB_DEF_27.7.g,2012,HAD,0.143,0,209.09,TBB_DEF,BE,143
BE_Beam_10<24m,TBB_DEF_27.7.g,2012,WHG,0.04,0,40.86,TBB_DEF,BE,40
BE_Beam_10<24m,TBB_DEF_27.7.g,2015,COD,0.006,0,12.78,TBB_DEF,BE,6
BE_Beam_10<24m,TBB_DEF_27.7.g,2015,WHG,0.002,0.00163553,4.31,TBB_DEF,BE,3.63553
BE_Beam_24<40m,TBB_DEF_27.7.e,2009,HAD,5.304,0,6087.06,TBB_DEF,BE,5304
BE_Beam_24<40m,TBB_DEF_27.7.e,2009,WHG,6.586,0,6454.52,TBB_DEF,BE,6586
BE_Beam_24<40m,TBB_DEF_27.7.e,2010,HAD,6.95,0,6944.14,TBB_DEF,BE,6950
BE_Beam_24<40m,TBB_DEF_27.7.e,2010,WHG,3.454,0,3603.9,TBB_DEF,BE,3454
BE_Beam_24<40m,TBB_DEF_27.7.e,2011,HAD,27.754,0,32921.62,TBB_DEF,BE,27754
BE_Beam_24<40m,TBB_DEF_27.7.e,2011,WHG,10.12,0,11562.68,TBB_DEF,BE,10120
BE_Beam_24<40m,TBB_DEF_27.7.e,2012,HAD,14.5,0,19217.88,TBB_DEF,BE,14500
BE_Beam_24<40m,TBB_DEF_27.7.e,2012,WHG,11.158,0,12939.32,TBB_DEF,BE,11158
BE_Beam_24<40m,TBB_DEF_27.7.e,2013,HAD,6.382,0,9225.02,TBB_DEF,BE,6382
BE_Beam_24<40m,TBB_DEF_27.7.e,2013,WHG,9.094,0,10029.54,TBB_DEF,BE,9094
BE_Beam_24<40m,TBB_DEF_27.7.e,2014,HAD,1.952,0,2885.06,TBB_DEF,BE,1952
BE_Beam_24<40m,TBB_DEF_27.7.e,2014,WHG,3.3,0.952258,3087.48,TBB_DEF,BE,4252.258
BE_Beam_24<40m,TBB_DEF_27.7.e,2015,HAD,6.444,0,11533.98,TBB_DEF,BE,6444
BE_Beam_24<40m,TBB_DEF_27.7.e,2015,WHG,13.568,11.0954343,16993.54,TBB_DEF,BE,24663.4343
BE_Beam_24<40m,TBB_DEF_27.7.e,2016,HAD,2.198,3.284433435,3276.72,TBB_DEF,BE,5482.433435
BE_Beam_24<40m,TBB_DEF_27.7.e,2016,WHG,9.898,8.094237077,10354.08,TBB_DEF,BE,17992.23708
