Stock,Advice.Year,Sc,var,val,SS,Diff,Ratio,Fmsy,Fpa,Flim,MSYBtrigger,Blim,Bpa
COD,2015,Single Species Advice,Catch,3569,3569,0,1,,,,,,
COD,2015,max,Catch,6362,3569,2793,1.782572149,,,,,,
COD,2015,min,Catch,3622,3569,53,1.014850098,,,,,,
COD,2015,had,Catch,4644,3569,1075,1.301204819,,,,,,
COD,2015,whg,Catch,6092,3569,2523,1.706920706,,,,,,
COD,2015,Sq_E,Catch,6253,3569,2684,1.752031381,,,,,,
COD,2015,cod,Catch,3747,3569,178,1.049873914,,,,,,
COD,2015,Single Species Advice,SSB,66187,66187,0,1,,,,10300,7300,10300
COD,2015,max,SSB,11313,66187,-54874,0.170924804,,,,10300,7300,10300
COD,2015,min,SSB,14538,66187,-51649,0.219650385,,,,10300,7300,10300
COD,2015,had,SSB,13325,66187,-52862,0.201323523,,,,10300,7300,10300
COD,2015,whg,SSB,11627,66187,-54560,0.175668938,,,,10300,7300,10300
COD,2015,Sq_E,SSB,11440,66187,-54747,0.17284361,,,,10300,7300,10300
COD,2015,cod,SSB,14389,66187,-51798,0.217399187,,,,10300,7300,10300
COD,2015,Single Species Advice,F,0.31,0.31,0,1,0.32,0.56,0.78,,,
COD,2015,max,F,0.58,0.31,0.27,1.870967742,0.32,0.56,0.78,,,
COD,2015,min,F,0.3,0.31,-0.01,0.967741935,0.32,0.56,0.78,,,
COD,2015,had,F,0.39,0.31,0.08,1.258064516,0.32,0.56,0.78,,,
COD,2015,whg,F,0.55,0.31,0.24,1.774193548,0.32,0.56,0.78,,,
COD,2015,Sq_E,F,0.57,0.31,0.26,1.838709677,0.32,0.56,0.78,,,
COD,2015,cod,F,0.31,0.31,0,1,0.32,0.56,0.78,,,
HAD,2015,Single Species Advice,Catch,8590,8590,0,1,,,,,,
HAD,2015,max,Catch,12196,8590,3606,1.419790454,,,,,,
HAD,2015,min,Catch,6964,8590,-1626,0.810710128,,,,,,
HAD,2015,had,Catch,8553,8590,-37,0.995692666,,,,,,
HAD,2015,whg,Catch,11941,8590,3351,1.390104773,,,,,,
HAD,2015,Sq_E,Catch,11869,8590,3279,1.381722934,,,,,,
HAD,2015,cod,Catch,7108,8590,-1482,0.827473807,,,,,,
HAD,2015,Single Species Advice,SSB,25203,25203,0,1,,,,10000,6700,10000
HAD,2015,max,SSB,25519,25203,316,1.01253819,,,,10000,6700,10000
HAD,2015,min,SSB,26721,25203,1518,1.060230925,,,,10000,6700,10000
HAD,2015,had,SSB,25131,25203,-72,0.997143197,,,,10000,6700,10000
HAD,2015,whg,SSB,21769,25203,-3434,0.863746379,,,,10000,6700,10000
HAD,2015,Sq_E,SSB,21841,25203,-3362,0.866603182,,,,10000,6700,10000
HAD,2015,cod,SSB,26577,25203,1374,1.054517319,,,,10000,6700,10000
HAD,2015,Single Species Advice,F,0.4,0.4,0,1,0.4,0.89,1.41,,,
HAD,2015,max,F,0.62,0.4,0.22,1.55,0.4,0.89,1.41,,,
HAD,2015,min,F,0.32,0.4,-0.08,0.8,0.4,0.89,1.41,,,
HAD,2015,had,F,0.4,0.4,0,1,0.4,0.89,1.41,,,
HAD,2015,whg,F,0.6,0.4,0.2,1.5,0.4,0.89,1.41,,,
HAD,2015,Sq_E,F,0.6,0.4,0.2,1.5,0.4,0.89,1.41,,,
HAD,2015,cod,F,0.32,0.4,-0.08,0.8,0.4,0.89,1.41,,,
WHG,2015,Single Species Advice,Catch,19076,19076,0,1,,,,,,
WHG,2015,max,Catch,18463,19076,-613,0.967865381,,,,,,
WHG,2015,min,Catch,10236,19076,-8840,0.53659048,,,,,,
WHG,2015,had,Catch,12693,19076,-6383,0.665391067,,,,,,
WHG,2015,whg,Catch,18070,19076,-1006,0.947263577,,,,,,
WHG,2015,Sq_E,Catch,18038,19076,-1038,0.945586077,,,,,,
WHG,2015,cod,Catch,10398,19076,-8678,0.545082827,,,,,,
WHG,2015,Single Species Advice,SSB,66187,66187,0,1,,,,40000,25000,40000
WHG,2015,max,SSB,63176,66187,-3011,0.954507683,,,,40000,25000,40000
WHG,2015,min,SSB,70989,66187,4802,1.072552012,,,,40000,25000,40000
WHG,2015,had,SSB,68802,66187,2615,1.039509269,,,,40000,25000,40000
WHG,2015,whg,SSB,64061,66187,-2126,0.967878889,,,,40000,25000,40000
WHG,2015,Sq_E,SSB,64089,66187,-2098,0.968301932,,,,40000,25000,40000
WHG,2015,cod,SSB,70835,66187,4648,1.070225271,,,,40000,25000,40000
WHG,2015,Single Species Advice,F,0.32,0.32,0,1,0.32,NA,0.5,,,
WHG,2015,max,F,0.33,0.32,0.01,1.03125,0.32,NA,0.5,,,
WHG,2015,min,F,0.17,0.32,-0.15,0.53125,0.32,NA,0.5,,,
WHG,2015,had,F,0.21,0.32,-0.11,0.65625,0.32,NA,0.5,,,
WHG,2015,whg,F,0.32,0.32,0,1,0.32,NA,0.5,,,
WHG,2015,Sq_E,F,0.32,0.32,0,1,0.32,NA,0.5,,,
WHG,2015,cod,F,0.17,0.32,-0.15,0.53125,0.32,NA,0.5,,,
COD,2016,Single Species Advice,Catch,1447,1447,0,1,,,,,,
