FishStock,Year,var,value,Advice.Year
HAD,1993,SSB,7539.815,2018
HAD,1994,SSB,8091.734,2018
HAD,1995,SSB,7447.816,2018
HAD,1996,SSB,19845.44,2018
HAD,1997,SSB,28983.63,2018
HAD,1998,SSB,22619.79,2018
HAD,1999,SSB,14338.61,2018
HAD,2000,SSB,17680.12,2018
HAD,2001,SSB,29554.02,2018
HAD,2002,SSB,36390.95,2018
HAD,2003,SSB,25777.22,2018
HAD,2004,SSB,43538.27,2018
HAD,2005,SSB,30028.52,2018
HAD,2006,SSB,23780.33,2018
HAD,2007,SSB,25314.54,2018
HAD,2008,SSB,24232.65,2018
HAD,2009,SSB,36609.68,2018
HAD,2010,SSB,37827.65,2018
HAD,2011,SSB,85975.07,2018
HAD,2012,SSB,68825.87,2018
HAD,2013,SSB,41265.41,2018
HAD,2014,SSB,25428.5,2018
HAD,2015,SSB,38739.56,2018
HAD,2016,SSB,29518.38,2018
HAD,2017,SSB,33959.98,2018
HAD,2018,SSB,19318.50183,2018
COD,1971,SSB,10093,2018
COD,1972,SSB,9298,2018
COD,1973,SSB,8617,2018
COD,1974,SSB,8327,2018
COD,1975,SSB,7526,2018
COD,1976,SSB,7316,2018
COD,1977,SSB,8841,2018
COD,1978,SSB,9689,2018
COD,1979,SSB,9848,2018
COD,1980,SSB,10347,2018
COD,1981,SSB,11212,2018
COD,1982,SSB,13547,2018
COD,1983,SSB,13008,2018
COD,1984,SSB,9568,2018
COD,1985,SSB,13103,2018
COD,1986,SSB,13692,2018
COD,1987,SSB,11364,2018
COD,1988,SSB,16606,2018
COD,1989,SSB,26324,2018
COD,1990,SSB,19126,2018
COD,1991,SSB,10846,2018
COD,1992,SSB,9073,2018
COD,1993,SSB,12280,2018
COD,1994,SSB,14358,2018
COD,1995,SSB,13022,2018
COD,1996,SSB,15904,2018
COD,1997,SSB,14076,2018
COD,1998,SSB,12544,2018
COD,1999,SSB,10912,2018
COD,2000,SSB,7580,2018
COD,2001,SSB,8470,2018
COD,2002,SSB,10756,2018
COD,2003,SSB,8810,2018
COD,2004,SSB,4606,2018
COD,2005,SSB,3368,2018
COD,2006,SSB,3746,2018
COD,2007,SSB,5093,2018
COD,2008,SSB,5412,2018
COD,2009,SSB,5027,2018
COD,2010,SSB,4872,2018
COD,2011,SSB,8957,2018
COD,2012,SSB,13480,2018
COD,2013,SSB,9486,2018
COD,2014,SSB,4762,2018
COD,2015,SSB,4687,2018
COD,2016,SSB,5264,2018
COD,2017,SSB,3669,2018
COD,2018,SSB,4179,2018
WHG,1999,SSB,50349,2018
WHG,2000,SSB,42424,2018
WHG,2001,SSB,50674,2018
WHG,2002,SSB,57460,2018
WHG,2003,SSB,45153,2018
WHG,2004,SSB,39083,2018
WHG,2005,SSB,40742,2018
WHG,2006,SSB,34429,2018
WHG,2007,SSB,29805,2018
WHG,2008,SSB,25819,2018
WHG,2009,SSB,35043,2018
WHG,2010,SSB,50049,2018
WHG,2011,SSB,78666,2018
WHG,2012,SSB,84943,2018
WHG,2013,SSB,78884,2018
WHG,2014,SSB,67627,2018
WHG,2015,SSB,76187,2018
WHG,2016,SSB,57048,2018
WHG,2017,SSB,42470,2018
WHG,2018,SSB,40029,2018
HAD,1993,Catch,4556,2018
HAD,1994,Catch,6017,2018
HAD,1995,Catch,6688,2018
HAD,1996,Catch,11065,2018
HAD,1997,Catch,13710,2018
HAD,1998,Catch,8862,2018
HAD,1999,Catch,5556,2018
HAD,2000,Catch,10002,2018
HAD,2001,Catch,12696,2018
HAD,2002,Catch,13561,2018
HAD,2003,Catch,17748,2018
HAD,2004,Catch,15527,2018
HAD,2005,Catch,11978,2018
HAD,2006,Catch,8077,2018
HAD,2007,Catch,9520,2018
HAD,2008,Catch,18642,2018
HAD,2009,Catch,18688,2018
HAD,2010,Catch,26809,2018
HAD,2011,Catch,27257,2018
HAD,2012,Catch,28567,2018
HAD,2013,Catch,15509,2018
HAD,2014,Catch,13031,2018
HAD,2015,Catch,15239,2018
HAD,2016,Catch,17931,2018
HAD,2017,Catch,16072,2018
HAD,2018,Catch,10837,2018
COD,1971,Catch,5782,2018
COD,1972,Catch,4737,2018
COD,1973,Catch,4015,2018
COD,1974,Catch,2898,2018
COD,1975,Catch,3993,2018
COD,1976,Catch,4818,2018
COD,1977,Catch,3059,2018
COD,1978,Catch,3647,2018
COD,1979,Catch,4650,2018
COD,1980,Catch,7243,2018
COD,1981,Catch,10597,2018
COD,1982,Catch,8766,2018
COD,1983,Catch,9641,2018
COD,1984,Catch,6631,2018
COD,1985,Catch,8317,2018
COD,1986,Catch,10475,2018
COD,1987,Catch,10228,2018
COD,1988,Catch,17191,2018
COD,1989,Catch,19809,2018
COD,1990,Catch,12749,2018
COD,1991,Catch,9336,2018
COD,1992,Catch,9747,2018
COD,1993,Catch,10425,2018
COD,1994,Catch,10620,2018
COD,1995,Catch,11709,2018
COD,1996,Catch,12681,2018
COD,1997,Catch,12035,2018
COD,1998,Catch,11431,2018
COD,1999,Catch,8594,2018
COD,2000,Catch,6536,2018
COD,2001,Catch,8308,2018
COD,2002,Catch,9236,2018
COD,2003,Catch,6420,2018
COD,2004,Catch,3672,2018
COD,2005,Catch,3062,2018
COD,2006,Catch,3776,2018
COD,2007,Catch,4830,2018
COD,2008,Catch,3961,2018
COD,2009,Catch,3292,2018
COD,2010,Catch,3229,2018
COD,2011,Catch,7261,2018
COD,2012,Catch,7692,2018
COD,2013,Catch,6290,2018
COD,2014,Catch,3879,2018
COD,2015,Catch,4154,2018
COD,2016,Catch,3299,2018
COD,2017,Catch,2237,2018
COD,2018,Catch,2551,2018
WHG,1999,Catch,25600,2018
WHG,2000,Catch,20044,2018
WHG,2001,Catch,23073,2018
WHG,2002,Catch,20976,2018
WHG,2003,Catch,14657,2018
WHG,2004,Catch,16669,2018
WHG,2005,Catch,18907,2018
WHG,2006,Catch,21691,2018
WHG,2007,Catch,17542,2018
WHG,2008,Catch,8739,2018
WHG,2009,Catch,10673,2018
WHG,2010,Catch,11522,2018
WHG,2011,Catch,11452,2018
WHG,2012,Catch,12261,2018
WHG,2013,Catch,14914,2018
WHG,2014,Catch,16824,2018
WHG,2015,Catch,19275,2018
WHG,2016,Catch,22457,2018
WHG,2017,Catch,16198,2018
WHG,2018,Catch,15770,2018
HAD,1993,F,1.089246,2018
HAD,1994,F,1.072749,2018
HAD,1995,F,0.8415689,2018
HAD,1996,F,0.8319038,2018
HAD,1997,F,0.7079853,2018
HAD,1998,F,0.749341,2018
HAD,1999,F,0.5161658,2018
HAD,2000,F,0.6585982,2018
HAD,2001,F,0.7006216,2018
HAD,2002,F,1.241081,2018
HAD,2003,F,0.6560264,2018
HAD,2004,F,0.7749867,2018
HAD,2005,F,0.817897,2018
HAD,2006,F,0.5094193,2018
HAD,2007,F,0.4083679,2018
HAD,2008,F,0.725877,2018
HAD,2009,F,0.5729725,2018
HAD,2010,F,0.5919343,2018
HAD,2011,F,0.4654384,2018
HAD,2012,F,0.5730865,2018
HAD,2013,F,0.492463,2018
HAD,2014,F,0.5112143,2018
HAD,2015,F,0.4848166,2018
HAD,2016,F,0.6211905,2018
HAD,2017,F,0.6578188,2018
HAD,2018,F,0.66,2018
COD,1971,F,0.557,2018
COD,1972,F,0.517,2018
COD,1973,F,0.541,2018
COD,1974,F,0.375,2018
COD,1975,F,0.678,2018
COD,1976,F,0.554,2018
COD,1977,F,0.349,2018
COD,1978,F,0.361,2018
COD,1979,F,0.467,2018
COD,1980,F,0.694,2018
COD,1981,F,0.808,2018
COD,1982,F,0.64,2018
COD,1983,F,0.834,2018
COD,1984,F,0.531,2018
COD,1985,F,0.539,2018
COD,1986,F,0.787,2018
COD,1987,F,0.811,2018
COD,1988,F,0.639,2018
COD,1989,F,0.817,2018
COD,1990,F,0.855,2018
COD,1991,F,0.981,2018
COD,1992,F,0.851,2018
COD,1993,F,0.749,2018
COD,1994,F,0.75,2018
COD,1995,F,0.726,2018
COD,1996,F,0.855,2018
COD,1997,F,0.809,2018
COD,1998,F,0.962,2018
COD,1999,F,0.883,2018
COD,2000,F,0.771,2018
COD,2001,F,0.768,2018
COD,2002,F,0.866,2018
COD,2003,F,0.949,2018
COD,2004,F,0.968,2018
COD,2005,F,0.999,2018
COD,2006,F,0.842,2018
COD,2007,F,0.843,2018
COD,2008,F,0.768,2018
COD,2009,F,0.784,2018
COD,2010,F,0.574,2018
COD,2011,F,0.503,2018
COD,2012,F,0.698,2018
COD,2013,F,0.977,2018
COD,2014,F,0.873,2018
COD,2015,F,0.747,2018
COD,2016,F,0.585,2018
COD,2017,F,0.612,2018
COD,2018,F,0.612,2018
WHG,1999,F,0.7192,2018
WHG,2000,F,0.7029,2018
WHG,2001,F,0.7796,2018
WHG,2002,F,0.5791,2018
WHG,2003,F,0.4257,2018
WHG,2004,F,0.4078,2018
WHG,2005,F,0.7185,2018
WHG,2006,F,0.7757,2018
WHG,2007,F,0.8952,2018
WHG,2008,F,0.5053,2018
WHG,2009,F,0.3851,2018
WHG,2010,F,0.3693,2018
WHG,2011,F,0.2556,2018
WHG,2012,F,0.1735,2018
WHG,2013,F,0.2165,2018
WHG,2014,F,0.274,2018
WHG,2015,F,0.3627,2018
WHG,2016,F,0.4861,2018
WHG,2017,F,0.5393,2018
WHG,2018,F,0.54,2018
COD,1971,Catch,5782,2017
COD,1972,Catch,4737,2017
COD,1973,Catch,4015,2017
COD,1974,Catch,2898,2017
