Country,Year,lvl4,Vessel_length,Area,FU,kw_days,Days_at_sea,No_vessels
BEL,2009,GNS_DEF,10<24m,27.7,outFU,18000,40,4
BEL,2009,GNS_DEF,10<24m,27.7.d,NA,54000,120,12
BEL,2009,GTR_DEF,10<24m,27.7,outFU,6750,15,3
BEL,2009,GTR_DEF,10<24m,27.7.d,NA,20250,45,9
BEL,2009,MIS_MIS,10<24m,27.7,outFU,19053,87,2
BEL,2009,MIS_MIS,10<24m,27.7.d,NA,57159,261,6
BEL,2009,MIS_MIS,24<40m,27.7,outFU,165522,246,7
BEL,2009,MIS_MIS,24<40m,27.7.d,NA,286050,420,21
BEL,2009,MIS_MIS,24<40m,27.7.e,NA,210516,318,6
BEL,2009,OTB_CRU,10<24m,27.7,outFU,10608,48,5
BEL,2009,OTB_CRU,10<24m,27.7.d,NA,19227,87,9
BEL,2009,OTB_CRU,10<24m,27.7.e,NA,1326,6,3
BEL,2009,OTB_CRU,10<24m,27.7.f,NA,7514,34,6
BEL,2009,OTB_CRU,10<24m,27.7.g,NA,17680,80,6
BEL,2009,OTB_CRU,10<24m,27.7.g,22,8840,40,3
BEL,2009,OTB_CRU,24<40m,27.7,outFU,93243,120,19
BEL,2009,OTB_CRU,24<40m,27.7.d,NA,59754,81,33
BEL,2009,OTB_CRU,24<40m,27.7.f,NA,146650,186,26
BEL,2009,OTB_CRU,24<40m,27.7.g,NA,768530,970,42
BEL,2009,OTB_CRU,24<40m,27.7.g,20_21,7163,13,4
BEL,2009,OTB_CRU,24<40m,27.7.g,22,377102,472,21
BEL,2009,OTB_CRU,24<40m,27.7.h,NA,0,0,2
BEL,2009,OTB_CRU,24<40m,27.7.j,19,0,0,3
BEL,2009,TBB_CRU,10<24m,27.7,outFU,884,4,1
BEL,2009,TBB_CRU,10<24m,27.7.d,NA,2652,12,3
BEL,2009,TBB_DEF,10<24m,27.7,outFU,365896,1658,70
BEL,2009,TBB_DEF,10<24m,27.7.d,NA,1052091,4767,201
BEL,2009,TBB_DEF,10<24m,27.7.e,NA,663,3,6
BEL,2009,TBB_DEF,10<24m,27.7.f,NA,29956,136,22
BEL,2009,TBB_DEF,10<24m,27.7.g,NA,8380,38,8
BEL,2009,TBB_DEF,10<24m,27.7.g,22,4190,19,4
BEL,2009,TBB_DEF,24<40m,27.7,outFU,3210843,3101,138
BEL,2009,TBB_DEF,24<40m,27.7.d,NA,5949753,5847,348
BEL,2009,TBB_DEF,24<40m,27.7.e,NA,842370,777,180
BEL,2009,TBB_DEF,24<40m,27.7.f,NA,1662064,1556,170
BEL,2009,TBB_DEF,24<40m,27.7.g,NA,1594338,1552,162
BEL,2009,TBB_DEF,24<40m,27.7.g,20_21,46353,41,16
BEL,2009,TBB_DEF,24<40m,27.7.g,22,736115,720,70
BEL,2009,TBB_DEF,24<40m,27.7.h,NA,4330,4,8
BEL,2009,TBB_DEF,24<40m,27.7.j,19,15363,16,6
BEL,2010,GNS_DEF,10<24m,27.7,outFU,9248,18,2
BEL,2010,GNS_DEF,10<24m,27.7.d,NA,27744,54,6
BEL,2010,GTR_DEF,10<24m,27.7,outFU,18450,41,4
BEL,2010,GTR_DEF,10<24m,27.7.d,NA,55350,123,12
BEL,2010,MIS_MIS,10<24m,27.7,outFU,18615,85,2
BEL,2010,MIS_MIS,10<24m,27.7.d,NA,55845,255,6
BEL,2010,MIS_MIS,24<40m,27.7,outFU,137696,208,4
BEL,2010,MIS_MIS,24<40m,27.7.d,NA,178740,270,12
BEL,2010,MIS_MIS,24<40m,27.7.e,NA,164838,249,9
BEL,2010,MIS_MIS,24<40m,27.7.f,NA,1324,2,2
BEL,2010,OTB_CRU,10<24m,27.7,outFU,37657,83,8
BEL,2010,OTB_CRU,10<24m,27.7.d,NA,91083,159,21
BEL,2010,OTB_CRU,10<24m,27.7.e,NA,2661,3,3
BEL,2010,OTB_CRU,10<24m,27.7.f,NA,12376,56,4
BEL,2010,OTB_CRU,10<24m,27.7.g,NA,32756,100,6
BEL,2010,OTB_CRU,10<24m,27.7.g,22,16378,50,3
BEL,2010,OTB_CRU,10<24m,27.7.j,19,0,0,1
BEL,2010,OTB_CRU,24<40m,27.7,outFU,68695,92,15
BEL,2010,OTB_CRU,24<40m,27.7.d,NA,37272,57,15
BEL,2010,OTB_CRU,24<40m,27.7.e,NA,10125,12,6
BEL,2010,OTB_CRU,24<40m,27.7.f,NA,98802,128,16
BEL,2010,OTB_CRU,24<40m,27.7.g,NA,566652,822,30
BEL,2010,OTB_CRU,24<40m,27.7.g,20_21,5510,10,3
BEL,2010,OTB_CRU,24<40m,27.7.g,22,277816,401,15
BEL,2010,OTB_CRU,24<40m,27.7.j,19,551,1,3
BEL,2010,SSC_DEF,24<40m,27.7,outFU,113338,122,5
BEL,2010,SSC_DEF,24<40m,27.7.d,NA,284274,306,15
BEL,2010,SSC_DEF,24<40m,27.7.e,NA,55740,60,6
BEL,2010,TBB_DEF,10<24m,27.7,outFU,449284,2035,74
BEL,2010,TBB_DEF,10<24m,27.7.d,NA,1316715,5964,222
BEL,2010,TBB_DEF,10<24m,27.7.e,NA,4641,21,3
BEL,2010,TBB_DEF,10<24m,27.7.f,NA,17664,80,12
BEL,2010,TBB_DEF,10<24m,27.7.g,NA,2652,12,4
BEL,2010,TBB_DEF,10<24m,27.7.g,20_21,221,1,1
BEL,2010,TBB_DEF,10<24m,27.7.g,22,663,3,1
BEL,2010,TBB_DEF,10<24m,27.7.j,19,442,2,1
BEL,2010,TBB_DEF,24<40m,27.7,outFU,2667244,2575,107
BEL,2010,TBB_DEF,24<40m,27.7.d,NA,4575693,4611,246
BEL,2010,TBB_DEF,24<40m,27.7.e,NA,721404,675,123
BEL,2010,TBB_DEF,24<40m,27.7.f,NA,1504292,1362,122
BEL,2010,TBB_DEF,24<40m,27.7.g,NA,2165050,1972,140
BEL,2010,TBB_DEF,24<40m,27.7.g,20_21,57488,53,16
BEL,2010,TBB_DEF,24<40m,27.7.g,22,1039537,948,65
BEL,2010,TBB_DEF,24<40m,27.7.h,NA,55466,54,24
BEL,2010,TBB_DEF,24<40m,27.7.j,19,2122,2,3
BEL,2011,GTR_DEF,10<24m,27.7,outFU,25650,57,5
BEL,2011,GTR_DEF,10<24m,27.7.d,NA,76950,171,15
BEL,2011,MIS_MIS,10<24m,27.7,outFU,26499,121,3
BEL,2011,MIS_MIS,10<24m,27.7.d,NA,79497,363,9
BEL,2011,MIS_MIS,24<40m,27.7,outFU,87384,132,4
BEL,2011,MIS_MIS,24<40m,27.7.d,NA,59580,90,9
BEL,2011,MIS_MIS,24<40m,27.7.e,NA,69510,105,12
BEL,2011,MIS_MIS,24<40m,27.7.f,NA,1324,2,2
BEL,2011,MIS_MIS,24<40m,27.7.g,NA,1324,2,2
BEL,2011,MIS_MIS,24<40m,27.7.g,22,662,1,1
BEL,2011,OTB_CRU,10<24m,27.7,outFU,21936,42,6
BEL,2011,OTB_CRU,10<24m,27.7.d,NA,59178,96,15
BEL,2011,OTB_CRU,10<24m,27.7.f,NA,4420,20,4
BEL,2011,OTB_CRU,10<24m,27.7.g,NA,18122,82,4
BEL,2011,OTB_CRU,10<24m,27.7.g,22,9061,41,2
BEL,2011,OTB_CRU,24<40m,27.7,outFU,93548,131,11
BEL,2011,OTB_CRU,24<40m,27.7.d,NA,59250,90,9
BEL,2011,OTB_CRU,24<40m,27.7.e,NA,37872,48,6
BEL,2011,OTB_CRU,24<40m,27.7.f,NA,119042,164,18
BEL,2011,OTB_CRU,24<40m,27.7.g,NA,384080,620,20
BEL,2011,OTB_CRU,24<40m,27.7.g,20_21,7714,14,3
BEL,2011,OTB_CRU,24<40m,27.7.g,22,184326,296,10
BEL,2011,OTB_CRU,24<40m,27.7.j,19,0,0,2
BEL,2011,SSC_DEF,24<40m,27.7,outFU,166487,162,7
BEL,2011,SSC_DEF,24<40m,27.7.d,NA,420147,405,21
BEL,2011,SSC_DEF,24<40m,27.7.e,NA,79314,81,9
BEL,2011,TBB_DEF,10<24m,27.7,outFU,454511,2056,73
BEL,2011,TBB_DEF,10<24m,27.7.d,NA,1263054,5712,219
BEL,2011,TBB_DEF,10<24m,27.7.e,NA,5268,24,12
BEL,2011,TBB_DEF,10<24m,27.7.f,NA,63474,288,28
BEL,2011,TBB_DEF,24<40m,27.7,outFU,2952954,2967,106
BEL,2011,TBB_DEF,24<40m,27.7.d,NA,4554564,4737,243
BEL,2011,TBB_DEF,24<40m,27.7.e,NA,1145964,1197,165
BEL,2011,TBB_DEF,24<40m,27.7.f,NA,1646576,1540,120
BEL,2011,TBB_DEF,24<40m,27.7.g,NA,2396958,2342,146
BEL,2011,TBB_DEF,24<40m,27.7.g,20_21,70627,65,13
BEL,2011,TBB_DEF,24<40m,27.7.g,22,1129052,1107,70
BEL,2011,TBB_DEF,24<40m,27.7.h,NA,16474,16,18
BEL,2011,TBB_DEF,24<40m,27.7.j,19,4213,6,5
BEL,2012,GTR_DEF,10<24m,27.7,outFU,32292,54,4
BEL,2012,GTR_DEF,10<24m,27.7.d,NA,96876,162,12
BEL,2012,MIS_MIS,10<24m,27.7,outFU,19710,90,2
BEL,2012,MIS_MIS,10<24m,27.7.d,NA,57816,264,6
