Country,Year,lvl4,Vessel_length,Area,Species,Landings,Value,FU
BEL,2009,GNS_DEF,10<24m,27.4.c,COD,81.742,191644.32,NA
BEL,2009,GNS_DEF,10<24m,27.4.c,PLE,11.312,15448.3,NA
BEL,2009,GNS_DEF,10<24m,27.4.c,POL,0.606,1862.96,NA
BEL,2009,GNS_DEF,10<24m,27.4.c,SOL,98.184,1009775.26,NA
BEL,2009,GNS_DEF,10<24m,27.4.c,WHG,0.68,441.46,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,COD,0.974,1978.22,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,PLE,0.658,843.38,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,POL,0.312,693.64,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,SOL,27.544,232795.74,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,WHG,0.298,256.32,NA
BEL,2009,GTR_DEF,10<24m,27.4.c,COD,3.296,7574.9,NA
BEL,2009,GTR_DEF,10<24m,27.4.c,PLE,0.112,271.28,NA
BEL,2009,GTR_DEF,10<24m,27.4.c,POL,0.008,16.02,NA
BEL,2009,GTR_DEF,10<24m,27.4.c,SOL,2.156,17969.66,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,COD,0.16,350.82,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,PLE,0.052,97.72,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,POL,0.03,55.98,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,SOL,8.016,57842.94,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,WHG,0.056,105.52,NA
BEL,2009,MIS_MIS,10<24m,27.4.c,COD,0.572,1712.52,NA
BEL,2009,MIS_MIS,10<24m,27.4.c,PLE,0.07,94.4,NA
BEL,2009,MIS_MIS,10<24m,27.4.c,SOL,0.076,1006.4,NA
BEL,2009,MIS_MIS,10<24m,27.7.d,COD,0.03,48.54,NA
BEL,2009,MIS_MIS,10<24m,27.7.d,PLE,0.806,972.96,NA
BEL,2009,MIS_MIS,10<24m,27.7.d,SOL,0.326,2428.18,NA
BEL,2009,MIS_MIS,24<40m,27.4.b,COD,4.498,6534.44,NA
BEL,2009,MIS_MIS,24<40m,27.4.b,HAD,0.622,1339.32,NA
BEL,2009,MIS_MIS,24<40m,27.4.b,HKE,0.028,142.52,NA
BEL,2009,MIS_MIS,24<40m,27.4.b,PLE,0.266,299.04,NA
BEL,2009,MIS_MIS,24<40m,27.4.c,COD,0.786,2393.18,NA
BEL,2009,MIS_MIS,24<40m,27.4.c,PLE,0.01,9.8,NA
BEL,2009,MIS_MIS,24<40m,27.4.c,POL,0.002,5.44,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,COD,0.008,7.02,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,MON,2.276,6142.88,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,PLE,3.722,4664.92,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,POL,0.006,14.24,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,SOL,3.292,25206.26,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,WHG,0.05,137.64,NA
BEL,2009,MIS_MIS,24<40m,27.7.e,MON,7.552,20343.32,NA
BEL,2009,MIS_MIS,24<40m,27.7.e,PLE,0.252,719.66,NA
BEL,2009,MIS_MIS,24<40m,27.7.e,SOL,1.074,10617.5,NA
BEL,2009,OTB_CRU,10<24m,27.4.b,COD,14.11,37891.8,NA
BEL,2009,OTB_CRU,10<24m,27.4.b,HAD,0.01,5.74,NA
BEL,2009,OTB_CRU,10<24m,27.4.b,HKE,16.332,24286.84,NA
BEL,2009,OTB_CRU,10<24m,27.4.b,MEG,0.146,203.42,NA
BEL,2009,OTB_CRU,10<24m,27.4.b,MON,1.732,2992.42,NA
BEL,2009,OTB_CRU,10<24m,27.4.b,PLE,165.624,233708.7,NA
BEL,2009,OTB_CRU,10<24m,27.4.b,SOL,8.948,89955.78,NA
BEL,2009,OTB_CRU,10<24m,27.4.b,WHG,1.222,784.78,NA
BEL,2009,OTB_CRU,10<24m,27.4.c,COD,25.372,54880.84,NA
BEL,2009,OTB_CRU,10<24m,27.4.c,HAD,0.014,18.06,NA
BEL,2009,OTB_CRU,10<24m,27.4.c,MEG,0.004,1.12,NA
BEL,2009,OTB_CRU,10<24m,27.4.c,MON,0.118,402.52,NA
BEL,2009,OTB_CRU,10<24m,27.4.c,PLE,23.172,29378.78,NA
BEL,2009,OTB_CRU,10<24m,27.4.c,POL,0.01,22.28,NA
BEL,2009,OTB_CRU,10<24m,27.4.c,SOL,37.368,312593.94,NA
BEL,2009,OTB_CRU,10<24m,27.4.c,WHG,10.512,6966,NA
BEL,2009,OTB_CRU,10<24m,27.7.a,HAD,0.11,75.04,NA
BEL,2009,OTB_CRU,10<24m,27.7.a,MEG,0.035,31.65,NA
BEL,2009,OTB_CRU,10<24m,27.7.a,SOL,0.098,930.47,NA
BEL,2009,OTB_CRU,10<24m,27.7.a,WHG,0.066,29.61,NA
BEL,2009,OTB_CRU,10<24m,27.7.d,COD,0.6,1132.86,NA
BEL,2009,OTB_CRU,10<24m,27.7.d,HAD,0.002,2.08,NA
BEL,2009,OTB_CRU,10<24m,27.7.d,MON,0.3,1176.72,NA
BEL,2009,OTB_CRU,10<24m,27.7.d,PLE,1.954,1997.6,NA
BEL,2009,OTB_CRU,10<24m,27.7.d,POL,0.032,76.7,NA
BEL,2009,OTB_CRU,10<24m,27.7.d,SOL,17.98,142877.56,NA
BEL,2009,OTB_CRU,10<24m,27.7.d,WHG,1.928,765.56,NA
BEL,2009,OTB_CRU,10<24m,27.7.e,HAD,0.548,375.18,NA
BEL,2009,OTB_CRU,10<24m,27.7.e,HKE,0.004,1.24,NA
BEL,2009,OTB_CRU,10<24m,27.7.e,MEG,0.14,126.6,NA
BEL,2009,OTB_CRU,10<24m,27.7.e,PLE,0.34,334.16,NA
BEL,2009,OTB_CRU,10<24m,27.7.e,SOL,0.498,4704.9,NA
BEL,2009,OTB_CRU,10<24m,27.7.f,COD,0.407,809.92,NA
BEL,2009,OTB_CRU,10<24m,27.7.f,HAD,0.848,1500.97,NA
BEL,2009,OTB_CRU,10<24m,27.7.f,HKE,0.057,31.56,NA
BEL,2009,OTB_CRU,10<24m,27.7.f,MEG,0.366,255.21,NA
BEL,2009,OTB_CRU,10<24m,27.7.f,MON,2.295,3921.75,NA
BEL,2009,OTB_CRU,10<24m,27.7.f,PLE,2.667,2566.4,NA
BEL,2009,OTB_CRU,10<24m,27.7.f,POL,0.038,81.79,NA
BEL,2009,OTB_CRU,10<24m,27.7.f,SOL,0.539,4588.36,NA
