Country,Year,lvl4,Vessel_length,Area,Species,Landings,Value,FU
BEL,2009,GNS_DEF,10<24m,27.7.d,COD,0.974,1978.22,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,PLE,0.658,843.38,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,POL,0.312,693.64,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,SOL,27.544,232795.74,NA
BEL,2009,GNS_DEF,10<24m,27.7.d,WHG,0.298,256.32,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,COD,0.16,350.82,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,PLE,0.052,97.72,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,POL,0.03,55.98,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,SOL,8.016,57842.94,NA
BEL,2009,GTR_DEF,10<24m,27.7.d,WHG,0.056,105.52,NA
BEL,2009,MIS_MIS,10<24m,27.7.d,COD,0.03,48.54,NA
BEL,2009,MIS_MIS,10<24m,27.7.d,PLE,0.806,972.96,NA
BEL,2009,MIS_MIS,10<24m,27.7.d,SOL,0.326,2428.18,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,COD,0.008,7.02,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,MON,2.276,6142.88,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,PLE,3.722,4664.92,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,POL,0.006,14.24,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,SOL,3.292,25206.26,NA
BEL,2009,MIS_MIS,24<40m,27.7.d,WHG,0.05,137.64,NA
BEL,2009,MIS_MIS,24<40m,27.7.e,MON,7.552,20343.32,NA
BEL,2009,MIS_MIS,24<40m,27.7.e,PLE,0.252,719.66,NA
BEL,2009,MIS_MIS,24<40m,27.7.e,SOL,1.074,10617.5,NA
BEL,2009,OTB_CRU,10<24m,27.7.d,COD,0.6,1132.86,NA
