"ID","Country","Year","Quarter","Intercatch Metier Tag","Vessel Length Category","FDF Vessel flag","Area","Species","Landings (tonnes)","Value (euros)"
"ENG_191","GG",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BSS",0.006,55.6
"ENG_192","GG",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","MUR",0.004,25.8
"ENG_193","GG",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","OTH",0.5,1110.1
"ENG_194","GG",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","POL",0.004,31.02
"ENG_195","GG",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","RJA",1.797,5123.2
"ENG_196","GG",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","SOL",0.01,138.85
"ENG_197","GG",2017,1,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.d","OTH",2.886,22106.7
"ENG_198","GG",2017,1,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.e","OTH",41.799,181986.04
"ENG_199","GG",2017,1,"GNS_DEF_>=220_0_0_all",NA,"NULL","27.7.e","OTH",0.004,4.03
"ENG_200","GG",2017,1,"GNS_DEF_>=220_0_0_all",NA,"NULL","27.7.e","RJA",0.681,1009.67
"ENG_201","GG",2017,1,"GNS_DEF_>=220_0_0_all",NA,"NULL","27.7.e","TUR",0.007,41.93
"ENG_202","GG",2017,1,"GNS_DEF_100-119_0_0_all",NA,"NULL","27.7.e","ANF",0.014,24.3
"ENG_203","GG",2017,1,"GNS_DEF_100-119_0_0_all",NA,"NULL","27.7.e","BLL",0.01,74.51
"ENG_204","GG",2017,1,"GNS_DEF_100-119_0_0_all",NA,"NULL","27.7.e","BSS",0.094,746.26
"ENG_205","GG",2017,1,"GNS_DEF_100-119_0_0_all",NA,"NULL","27.7.e","MUR",0.224,1770.68
"ENG_206","GG",2017,1,"GNS_DEF_100-119_0_0_all",NA,"NULL","27.7.e","OTH",4.85,10032.03
"ENG_207","GG",2017,1,"GNS_DEF_100-119_0_0_all",NA,"NULL","27.7.e","POL",2.274,6485.17
"ENG_208","GG",2017,1,"GNS_DEF_100-119_0_0_all",NA,"NULL","27.7.e","RJA",0.337,728.83
"ENG_209","GG",2017,1,"GNS_DEF_120-219_0_0_all",NA,"NULL","27.7.e","OTH",0.01,19.68
"ENG_210","GG",2017,1,"GNS_DEF_120-219_0_0_all",NA,"NULL","27.7.e","RJA",0.69,1657.44
"ENG_211","GG",2017,1,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","ANF",0.022,43.69
